t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,0.000000000000000000e+00,-2.462036863015149635e+01,2.462036863015149635e+01,0.000000000000000000e+00,6.826999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,-2.462036863015149635e+01,2.462036863015149635e+01,0.000000000000000000e+00,6.826999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,-2.462036863015149635e+01,2.462036863015149635e+01,0.000000000000000000e+00,6.826999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,-2.462036863015149635e+01,2.462036863015149635e+01,0.000000000000000000e+00,6.826999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,-2.462036863015149635e+01,2.462036863015149635e+01,0.000000000000000000e+00,6.826999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,-2.462036863015149635e+01,2.462036863015149635e+01,0.000000000000000000e+00,6.826999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,-2.462036863015149635e+01,2.462036863015149635e+01,0.000000000000000000e+00,6.826999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.066170845824091717e+00,-2.418914159338913805e+01,2.424954015255853079e+01,1.005772286654698977e+00,6.795000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,6.278951923556769232e-01,-2.418914159338913805e+01,2.387871167496556524e+01,9.383251107792497381e-01,6.795000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.941425522909269175e-01,-2.418914159338913805e+01,2.350788319737259968e+01,8.754009483074652875e-01,6.795000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.208219805175403616e+00,-2.375791455662675844e+01,2.314366558957516418e+01,1.822468772226997880e+00,6.762999999999999545e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,7.217872850773376925e-01,-2.375791455662675844e+01,2.277944798177772867e+01,1.700253859926367461e+00,6.762999999999999545e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.732273519239207360e+00,-2.331321167496556868e+01,2.242204783345693286e+01,2.623437360747843172e+00,6.729999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.198945436318904711e+00,-2.331321167496556868e+01,2.206464768513613706e+01,2.447509426148336331e+00,6.729999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.534558648013938154e+00,-2.305717062188791289e+01,2.171117274075643522e+01,2.880556529145415823e+00,6.710999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.574379976524277858e+00,-2.288198463820320683e+01,2.136038346223116591e+01,3.095981152496318778e+00,6.698000000000000398e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.873117488383132745e+00,-2.262594358512555459e+01,2.101351938764699412e+01,3.485541685861693217e+00,6.679000000000000625e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.878979330149615379e+00,-2.245075760144083077e+01,2.066934097891725486e+01,3.660395952673191289e+00,6.665999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.597606192235436318e+00,-2.205995809937494201e+01,2.033115367093971315e+01,4.326410620670665175e+00,6.637000000000000455e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,2.104627872283690415e+00,-2.201953056467846892e+01,1.999358613200550394e+01,4.130572304956655394e+00,6.634000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.933673993236178390e+00,-2.158830352791608931e+01,1.966262946286682478e+01,4.859348058285442917e+00,6.601999999999999602e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,2.457300300348992828e+00,-2.153440014832080607e+01,1.933249915245258421e+01,4.659201296217214683e+00,6.598000000000000398e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,3.122995288677952175e+00,-2.114360064625489954e+01,1.900835994279054475e+01,5.258235992142306969e+00,6.568999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,3.754510059631018137e+00,-2.075280114418901434e+01,1.869021183388070284e+01,5.817099369939329634e+00,6.540000000000000568e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,3.181605223264895699e+00,-2.071237360949254125e+01,1.837268349401418988e+01,5.521295338743247072e+00,6.537000000000000455e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,3.666751626036607981e+00,-2.036200164212310781e+01,1.806052648585654552e+01,5.968226782303170275e+00,6.510999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,3.225041728790943196e+00,-2.028114657273016164e+01,1.774960901578556260e+01,5.756579285735542229e+00,6.504999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,2.528087557691557130e+00,-2.028114657273016164e+01,1.743869154571457969e+01,5.370542584707139078e+00,6.504999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,3.300631234111923717e+00,-1.984991953596779979e+01,1.713438494543912682e+01,6.016165824640596682e+00,6.473000000000000398e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,2.592880037226988676e+00,-1.984991953596779979e+01,1.683007834516367396e+01,5.612721228031114507e+00,6.473000000000000398e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,3.220455607220083394e+00,-1.945912003390189682e+01,1.653176284564041865e+01,6.147812795481561565e+00,6.443999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,2.690318528074125304e+00,-1.940521665430661002e+01,1.623427370484160548e+01,5.861261477539129849e+00,6.440000000000000568e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.541126511933714305e+00,-1.924350651552071767e+01,1.593926364021611519e+01,5.845369387238316783e+00,6.428000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,2.756381845209479486e+00,-1.897398961754423041e+01,1.564838536921283030e+01,6.081986093540879601e+00,6.407999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,3.230578346699692460e+00,-1.862361765017481119e+01,1.536287842991841401e+01,6.491317566956089635e+00,6.382000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,2.780440005397938563e+00,-1.854276258078186146e+01,1.507861102871065917e+01,6.244591557469140852e+00,6.375999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,3.521019951542479376e+00,-1.811153554401949251e+01,1.480095449729843260e+01,6.831600998263539282e+00,6.343999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,2.785235670783180240e+00,-1.811153554401949251e+01,1.452329796588620603e+01,6.373473248916466716e+00,6.343999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,3.523783669431987065e+00,-1.768030850725712355e+01,1.425225230426950951e+01,6.951839872419601107e+00,6.311999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,2.786547029246379203e+00,-1.768030850725712355e+01,1.398120664265281299e+01,6.485648893850689767e+00,6.311999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,3.569296207850499947e+00,-1.723560562559593379e+01,1.371697844051275617e+01,7.087923392933677569e+00,6.278999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,2.829751254574868646e+00,-1.723560562559593379e+01,1.345275023837269934e+01,6.612606641798103091e+00,6.278999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000000e+01,3.565691276642729335e+00,-1.680437858883356483e+01,1.319513290602817079e+01,7.174936959448123375e+00,6.246999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,2.826922055923192012e+00,-1.680437858883356483e+01,1.293751557368364224e+01,6.693785071073114601e+00,6.246999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+01,3.112900929972346020e+00,-1.650791000105943596e+01,1.268444321432354016e+01,6.936367716708241815e+00,6.225000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,2.845803341512366913e+00,-1.637315155207119588e+01,1.243343675177454166e+01,6.785518141809021131e+00,6.214999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,2.139759449925746182e+00,-1.637315155207119588e+01,1.218243028922554316e+01,6.330480712771398899e+00,6.214999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,2.907840600602015435e+00,-1.594192451530882515e+01,1.193803469647207294e+01,6.911730419438767647e+00,6.182999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,3.688666784389906361e+00,-1.549722163364763361e+01,1.170045656319524241e+01,7.485431854842297561e+00,6.150000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,2.949114948401011738e+00,-1.549722163364763361e+01,1.146287842991841188e+01,6.983458152130233465e+00,6.150000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,2.378563967617546737e+00,-1.545679409895116052e+01,1.122592006568491207e+01,6.609438000883795183e+00,6.146999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,2.284842764703651774e+00,-1.528160811526645446e+01,1.099164736730584657e+01,6.574803512664259664e+00,6.134000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,2.331468275010830205e+00,-1.506599459688526466e+01,1.076068010382454609e+01,6.636782768071548766e+00,6.117999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,1.655437789421727146e+00,-1.506599459688526466e+01,1.052971284034324562e+01,6.191719545963746185e+00,6.117999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,2.182186563695267090e+00,-1.471562262951584366e+01,1.030411690857081197e+01,6.593692284640298773e+00,6.092000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,1.785093972560061637e+00,-1.463476756012289570e+01,1.007976051488503977e+01,6.340101017797917571e+00,6.085999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000000e+01,2.308503142391326257e+00,-1.428439559275347293e+01,9.860775452908136174e+00,6.732123282236663009e+00,6.060000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000000e+01,1.908738226470347854e+00,-1.420354052336052675e+01,9.643029929017894020e+00,6.469248820812980583e+00,6.053999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000000e+01,1.257164321356058601e+00,-1.420354052336052675e+01,9.425284405127651866e+00,6.035420439588933483e+00,6.053999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000000e+01,6.346829847251420631e-01,-1.420354052336052675e+01,9.207538881237409711e+00,5.630684626848259100e+00,6.053999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,1.528066278188393134e+00,-1.375883764169933521e+01,8.996610816823807255e+00,6.290293103063921087e+00,6.021000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000000000e+01,8.953106183440020516e-01,-1.375883764169933521e+01,8.785682752410204799e+00,5.868465507633132461e+00,6.021000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
