t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,5.403000000000000114e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,5.389999999999999858e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,5.392999999999999972e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,5.392999999999999972e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,5.386999999999999744e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,5.389999999999999858e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,5.379999999999999716e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,5.386999999999999744e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,5.379999999999999716e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,5.386999999999999744e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,5.382999999999999829e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,5.379999999999999716e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,5.392999999999999972e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,5.400000000000000000e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,5.403000000000000114e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,5.403000000000000114e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,5.406000000000000227e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
2.200000000000000000e+01,3.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
2.300000000000000000e+01,3.000000000000000000e+01,5.411999999999999744e+01,5.000000000000000000e+01
2.400000000000000000e+01,3.000000000000000000e+01,5.432000000000000028e+01,5.000000000000000000e+01
2.500000000000000000e+01,3.000000000000000000e+01,5.440999999999999659e+01,5.000000000000000000e+01
2.600000000000000000e+01,3.000000000000000000e+01,5.447999999999999687e+01,5.000000000000000000e+01
2.700000000000000000e+01,3.000000000000000000e+01,5.474000000000000199e+01,5.000000000000000000e+01
2.800000000000000000e+01,3.000000000000000000e+01,5.492999999999999972e+01,5.000000000000000000e+01
2.900000000000000000e+01,3.000000000000000000e+01,5.506000000000000227e+01,5.000000000000000000e+01
3.000000000000000000e+01,3.000000000000000000e+01,5.532000000000000028e+01,5.000000000000000000e+01
3.100000000000000000e+01,3.000000000000000000e+01,5.538000000000000256e+01,5.000000000000000000e+01
3.200000000000000000e+01,3.000000000000000000e+01,5.538000000000000256e+01,5.000000000000000000e+01
3.300000000000000000e+01,3.000000000000000000e+01,5.538000000000000256e+01,5.000000000000000000e+01
3.400000000000000000e+01,3.000000000000000000e+01,5.538000000000000256e+01,5.000000000000000000e+01
3.500000000000000000e+01,3.000000000000000000e+01,5.567000000000000171e+01,5.000000000000000000e+01
3.600000000000000000e+01,3.000000000000000000e+01,5.570000000000000284e+01,5.000000000000000000e+01
3.700000000000000000e+01,3.000000000000000000e+01,5.564000000000000057e+01,5.000000000000000000e+01
3.800000000000000000e+01,3.000000000000000000e+01,5.570000000000000284e+01,5.000000000000000000e+01
3.900000000000000000e+01,3.000000000000000000e+01,5.574000000000000199e+01,5.000000000000000000e+01
4.000000000000000000e+01,3.000000000000000000e+01,5.585999999999999943e+01,5.000000000000000000e+01
4.100000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
4.200000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
4.300000000000000000e+01,3.000000000000000000e+01,5.606000000000000227e+01,5.000000000000000000e+01
4.400000000000000000e+01,3.000000000000000000e+01,5.606000000000000227e+01,5.000000000000000000e+01
4.500000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
4.600000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
4.700000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
4.800000000000000000e+01,3.000000000000000000e+01,5.609000000000000341e+01,5.000000000000000000e+01
4.900000000000000000e+01,3.000000000000000000e+01,5.609000000000000341e+01,5.000000000000000000e+01
5.000000000000000000e+01,3.000000000000000000e+01,5.609000000000000341e+01,5.000000000000000000e+01
5.100000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
5.200000000000000000e+01,3.000000000000000000e+01,5.606000000000000227e+01,5.000000000000000000e+01
5.300000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
5.400000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
5.500000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
5.600000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
5.700000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
5.800000000000000000e+01,3.000000000000000000e+01,5.606000000000000227e+01,5.000000000000000000e+01
5.900000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
6.000000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
6.100000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
6.200000000000000000e+01,3.000000000000000000e+01,5.603000000000000114e+01,5.000000000000000000e+01
