t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,5.748795433838330382e+01,-7.487954338383303821e+00,0.000000000000000000e+00,2.733999999999999986e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,5.739362342409155104e+01,-7.393623424091551044e+00,-2.200126877056986785e-01,2.741000000000000014e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,5.727234082000212823e+01,-7.272340820002128225e+00,-4.881320736045960951e-01,2.750000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,5.717800990571036124e+01,-7.178009905710361238e+00,-6.754105825546440345e-01,2.757000000000000028e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,5.704325145672211761e+01,-7.043251456722117609e+00,-9.444213304929769404e-01,2.767000000000000171e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,5.704325145672211761e+01,-7.043251456722117609e+00,-8.810883550039092516e-01,2.767000000000000171e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,5.704325145672211761e+01,-7.043251456722117609e+00,-8.220024942874453178e-01,2.767000000000000171e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,5.696239638732917143e+01,-6.962396387329171432e+00,-9.554612402101423374e-01,2.773000000000000043e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,5.670635533425151209e+01,-6.706355334251512090e+00,-1.488565222629043117e+00,2.792000000000000171e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,5.661202441995975931e+01,-6.612024419959759314e+00,-1.608754598731399366e+00,2.798999999999999844e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,5.661202441995975931e+01,-6.612024419959759314e+00,-1.500871377249948235e+00,2.798999999999999844e+01,7.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
