t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,2.438209842144295436e+01,2.401395560970442133e+01,3.681428117385316390e-01,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.504221069181073034e+01,2.401395560970442133e+01,7.362856234770632780e-01,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,2.564631957854162181e+01,2.401395560970442133e+01,1.104428435215594861e+00,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.620792558908075875e+01,2.401395560970442133e+01,1.472571246954126556e+00,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,2.705305031469717392e+01,2.410828652399618832e+01,1.842160186460430227e+00,2.200126877057209940e-01,3.210999999999999943e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,2.781523791940783141e+01,2.418914159338913805e+01,2.212988664053395560e+00,3.938409217307333732e-01,3.204999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,2.859348183814909916e+01,2.428347250768090149e+01,2.585263269414133092e+00,5.874426034190924906e-01,3.198000000000000043e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,2.930089144371647336e+01,2.436432757707384411e+01,2.958777412861532063e+00,7.366309557573064160e-01,3.192000000000000171e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,2.998872743977960198e+01,2.444518264646679029e+01,3.333531094395592920e+00,8.758147243818636962e-01,3.185999999999999943e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,3.011886580164018312e+01,2.436432757707384411e+01,3.707045237842991892e+00,6.285002100398191516e-01,3.192000000000000171e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,2.994224969374523937e+01,2.418914159338913805e+01,4.077873715435957003e+00,1.777579405525671064e-01,3.204999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,2.978833475372671202e+01,2.401395560970442133e+01,4.446016527174488253e+00,-2.427575136525686461e-01,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,3.024267502774473471e+01,2.401395560970442133e+01,4.814159338913019504e+00,-2.264781739494725610e-01,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,3.069304286077697341e+01,2.401395560970442133e+01,5.182302150651550754e+00,-2.112905281642343258e-01,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,3.114015195476121534e+01,2.401395560970442133e+01,5.550444962390082004e+00,-1.971213672090147417e-01,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,3.131387933945424606e+01,2.393310054031147516e+01,5.917348236041951814e+00,-3.724846951514564353e-01,3.224000000000000199e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,3.059448436535283378e+01,2.358272857294205238e+01,6.278880177984953903e+00,-1.164695822428618577e+00,3.250000000000000000e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,3.109467009800945192e+01,2.358272857294205238e+01,6.640412119927955992e+00,-1.086591220602665109e+00,3.250000000000000000e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
