t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,3.037500476745416567e+00,2.991637567538933062e+00,4.586290920648371239e-02,0.000000000000000000e+00,4.778000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.669830026944538304e+00,3.166823551223648892e+00,9.441148426740120225e-02,4.085949914534882654e-01,4.764999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.690978186806053607e+00,3.166823551223648892e+00,1.429600593283187060e-01,3.811945762540858706e-01,4.764999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.713963820862807186e+00,3.166823551223648892e+00,1.915086343892362097e-01,3.556316352499223621e-01,4.764999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.911596989922788481e+00,3.517195518593071224e+00,2.454285411590211297e-01,1.148972930170696127e+00,4.739000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.204256403136302112e+00,3.611526432884839544e+00,3.007945756965780815e-01,1.291935394554884153e+00,4.732000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,5.172985139219266060e+00,3.611526432884839544e+00,3.561606102341350333e-01,1.205298096100291483e+00,4.732000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,6.004667332193255547e+00,3.867567485962493112e+00,4.154518487127873971e-01,1.721647997517974815e+00,4.713000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,6.534971349170046295e+00,4.042753469647209386e+00,4.774287530458735107e-01,2.014789126476963510e+00,4.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,6.461836321738314126e+00,4.042753469647209386e+00,5.394056573789596243e-01,1.879677194712145560e+00,4.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
