t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,2.438209842144295436e+01,2.401395560970442133e+01,3.681428117385316390e-01,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.475024123318148384e+01,2.401395560970442133e+01,7.362856234770632780e-01,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,2.511838404492001686e+01,2.401395560970442133e+01,1.104428435215594861e+00,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.548652685665854634e+01,2.401395560970442133e+01,1.472571246954126556e+00,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,2.585466966839707936e+01,2.401395560970442133e+01,1.840714058692658250e+00,0.000000000000000000e+00,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,2.653860220990087271e+01,2.410828652399618832e+01,2.210302998198961699e+00,2.200126877057209940e-01,3.210999999999999943e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,2.775058063190440194e+01,2.436432757707384411e+01,2.583817141646360671e+00,8.024359131841992676e-01,3.192000000000000171e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,2.779960644290768812e+01,2.428347250768090149e+01,2.956091747007098203e+00,5.600421882196915391e-01,3.198000000000000043e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,2.840500148228148802e+01,2.436432757707384411e+01,3.329605890454497175e+00,7.110680147531442952e-01,3.192000000000000171e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,2.827970315824470759e+01,2.422956912808560048e+01,3.701054137090793450e+00,3.490798930683126633e-01,3.202000000000000313e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,2.862774207728790543e+01,2.422956912808560048e+01,4.072502383727089281e+00,3.256705654752122814e-01,3.202000000000000313e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,2.857133546100784116e+01,2.410828652399618832e+01,4.442091323233392508e+00,2.095761377826105276e-02,3.210999999999999943e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,2.862372925136997992e+01,2.401395560970442133e+01,4.810234134971923758e+00,-2.004604933063669214e-01,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,2.900531496099654305e+01,2.401395560970442133e+01,5.178376946710455009e+00,-1.870175954183326550e-01,3.217999999999999972e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,2.925066073312315140e+01,2.397352807500794825e+01,5.545899989405655539e+00,-2.687673312904503842e-01,3.221000000000000085e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,2.904974069513221124e+01,2.379834209132323153e+01,5.910737366246422653e+00,-6.593387624374438261e-01,3.234000000000000341e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,2.873698828937134309e+01,2.358272857294205238e+01,6.272269308189424741e+00,-1.118009591760136257e+00,3.250000000000000000e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,2.917349405050426725e+01,2.358272857294205238e+01,6.633801250132426830e+00,-1.043035772570212849e+00,3.250000000000000000e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,2.960497206088679434e+01,2.358272857294205238e+01,6.995333192075428919e+00,-9.730897041306867390e-01,3.250000000000000000e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,2.930995438530952057e+01,2.336711505456087323e+01,7.353559699120666870e+00,-1.410720368372019085e+00,3.265999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,2.904097882474333758e+01,2.315150153617968343e+01,7.708480771268139797e+00,-1.819003482704486085e+00,3.282000000000000028e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,2.951788242657861261e+01,2.315150153617968343e+01,8.063401843415613612e+00,-1.697020953016685096e+00,3.282000000000000028e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
