t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.450000911113465385e+01,3.549999088886534793e+01,0.000000000000000000e+00,3.924000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.485038107850408551e+01,3.514961892149591449e+01,8.171899829069765309e-01,3.897999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.489080861320054971e+01,3.510919138679945206e+01,8.566803043820330199e-01,3.895000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.489080861320054971e+01,3.510919138679945206e+01,7.992312496353837226e-01,3.895000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.494471199279585427e+01,3.505528800720414750e+01,8.713562692631539042e-01,3.890999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.516032551117703342e+01,3.483967448882296480e+01,1.315809186379186535e+00,3.875000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.533551149486175014e+01,3.466448850513825164e+01,1.636165900849092081e+00,3.861999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.533551149486175014e+01,3.466448850513825164e+01,1.526444475094727027e+00,3.861999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.533551149486175014e+01,3.466448850513825164e+01,1.424080977569597728e+00,3.861999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.528160811526645446e+01,3.471839188473354909e+01,1.202860449143232646e+00,3.865999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.516032551117703342e+01,3.483967448882296480e+01,8.393230685522126144e-01,3.875000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.506599459688526466e+01,3.493400540311473890e+01,5.630253038244815711e-01,3.882000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.489080861320054971e+01,3.510919138679945206e+01,1.166737871681712835e-01,3.895000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.489080861320054971e+01,3.510919138679945206e+01,1.088496329857563533e-01,3.895000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.489080861320054971e+01,3.510919138679945206e+01,1.015501672544153883e-01,3.895000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.476952600911113755e+01,3.523047399088886067e+01,-1.881332513000467943e-01,3.903999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.445958157643817898e+01,3.554041842356181746e+01,-8.984158503521815220e-01,3.927000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.441915404174171655e+01,3.558084595825827989e+01,-9.324591581841851218e-01,3.929999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,-1.781409501777801108e+00,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.402835453967581003e+01,3.597164546032418997e+01,-1.661948027677894846e+00,3.959000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.363755503760991417e+01,3.636244496239008583e+01,-2.461978785066169628e+00,3.988000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.359712750291344996e+01,3.640287249708654826e+01,-2.391169428284842358e+00,3.990999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.324675553554401830e+01,3.675324446445598170e+01,-3.048007384080442694e+00,4.017000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.316590046615108101e+01,3.683409953384892077e+01,-3.032190051020217769e+00,4.022999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.293681110287107039e+01,3.706318889712893139e+01,-3.363167653210303421e+00,4.039999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.272119758448988058e+01,3.727880241551012119e+01,-3.640519485029473312e+00,4.056000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,1.259991498040047020e+01,3.740008501959952980e+01,-3.679259391494082099e+00,4.064999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.228997054772751163e+01,3.771002945227248659e+01,-4.155426771917325013e+00,4.088000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.224954301303104742e+01,3.775045698696895613e+01,-3.971054647777416680e+00,4.090999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.185874351096514268e+01,3.814125648903485910e+01,-4.616236517015263274e+00,4.120000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.168355752728043662e+01,3.831644247271956516e+01,-4.715266291394207165e+00,4.132999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,1.142751647420277372e+01,3.857248352579722450e+01,-4.996237424350679746e+00,4.152000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,1.107714450683335095e+01,3.892285549316665083e+01,-5.478379296719095848e+00,4.178000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,1.094238605784510909e+01,3.905761394215488735e+01,-5.425302550413567459e+00,4.188000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,1.055158655577921323e+01,3.944841344422079032e+01,-5.972962430472465556e+00,4.217000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,1.043030395168980107e+01,3.956969604831019893e+01,-5.855288512805972623e+00,4.225999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,1.012035951901684427e+01,3.987964048098315573e+01,-6.185531193570424691e+00,4.249000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,9.689132482254473544e+00,4.031086751774552823e+01,-6.776501227437429442e+00,4.281000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,9.689132482254473544e+00,4.031086751774552823e+01,-6.322068473451549764e+00,4.281000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,9.257905445492104590e+00,4.074209455450789363e+01,-6.903882305609788439e+00,4.313000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,9.082719461807398531e+00,4.091728053819259969e+01,-6.849502357041138190e+00,4.325999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
