t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,1.600844845852315501e+01,1.576673853162411909e+01,2.417099268990359762e-01,0.000000000000000000e+00,3.829999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.654212784405143921e+01,1.576673853162411909e+01,4.834198537980719523e-01,0.000000000000000000e+00,3.829999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.801228585377650049e+01,1.606320711939824619e+01,7.296747536815342272e-01,6.914684470751167877e-01,3.807999999999999829e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.885676220442514861e+01,1.619796556838648627e+01,9.779955503760994207e-01,9.594023532403492815e-01,3.797999999999999687e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.920193758107190263e+01,1.619796556838648627e+01,1.226316347070664614e+00,8.950647490799180650e-01,3.797999999999999687e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,2.011337772355592080e+01,1.637315155207119588e+01,1.477322809619663335e+00,1.243636621630492378e+00,3.785000000000000142e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,2.098548916590149460e+01,1.654833753575590904e+01,1.731014938023095917e+00,1.568833234487515105e+00,3.771999999999999886e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,2.150850415455259323e+01,1.662919260514885877e+01,1.985946604513190383e+00,1.652209446866752529e+00,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,2.174568199022681370e+01,1.662919260514885877e+01,2.240878271003284627e+00,1.541412139539314552e+00,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,2.198204022847752270e+01,1.662919260514885877e+01,2.495809937493378872e+00,1.438044909151753092e+00,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,2.239947142175818584e+01,1.668309598474415267e+01,2.751567962707914372e+00,1.467331029938542475e+00,3.761999999999999744e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,2.245002251413510308e+01,1.662919260514885877e+01,3.006499629198008616e+00,1.243210149287865107e+00,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,2.327796916486963852e+01,1.680437858883356483e+01,3.264116961542536721e+00,1.568435361416769203e+00,3.753000000000000114e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,2.408391110374901700e+01,1.697956457251827800e+01,3.524419959741498687e+00,1.871850942904004222e+00,3.739999999999999858e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,2.329100273049975911e+01,1.668309598474415267e+01,3.780177984956034187e+00,1.054856010923844067e+00,3.761999999999999744e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,2.353906452945270900e+01,1.668309598474415267e+01,4.035936010170569688e+00,9.841172762857106626e-01,3.761999999999999744e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,2.361003247009653805e+01,1.662919260514885877e+01,4.290867676660663932e+00,7.924007514325674961e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,2.387237486306599266e+01,1.662919260514885877e+01,4.545799343150758176e+00,7.392622890242676048e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,2.413738566807409214e+01,1.662919260514885877e+01,4.800731009640852420e+00,6.896872964663096628e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,2.440498676293210423e+01,1.662919260514885877e+01,5.055662676130946664e+00,6.434368071646525689e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,2.467507733200381281e+01,1.662919260514885877e+01,5.310594342621040909e+00,6.002878796455637378e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,2.494754216559480753e+01,1.662919260514885877e+01,5.565526009111135153e+00,5.600325229096755342e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,2.508691930605549558e+01,1.658876507045238213e+01,5.819837906557898677e+00,4.281855419780078442e-01,3.768999999999999773e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,2.523412326710199238e+01,1.654833753575590904e+01,6.073530034961331481e+00,3.051802309049552742e-01,3.771999999999999886e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,2.448634566416964020e+01,1.623839310308295225e+01,6.322470600699227283e+00,-4.381840126083518250e-01,3.795000000000000284e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,2.468559999457943022e+01,1.619796556838648627e+01,6.570791397393792366e+00,-5.030905069843354394e-01,3.797999999999999687e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,2.502362658860882760e+01,1.619796556838648627e+01,6.819112194088357448e+00,-4.693532144022313779e-01,3.797999999999999687e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,2.490798183692051992e+01,1.606320711939824619e+01,7.065367093971819834e+00,-7.521821871361927814e-01,3.807999999999999829e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,2.426761727286640991e+01,1.576673853162411909e+01,7.307077020870855755e+00,-1.393209232176961798e+00,3.829999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,2.465792135343469837e+01,1.576673853162411909e+01,7.548786947769891675e+00,-1.299780501478399408e+00,3.829999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,2.504171286207737168e+01,1.576673853162411909e+01,7.790496874668927596e+00,-1.212617109480116140e+00,3.829999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,2.496829041547646355e+01,1.563198008263587724e+01,8.030140904756860820e+00,-1.445602741610678699e+00,3.839999999999999858e+01,5.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00
