t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.633272401737471924e+01,3.366727598262528431e+01,0.000000000000000000e+00,3.788000000000000256e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.029196945862924650e+01,1.662919260514885877e+01,3.337080739485114123e+01,6.914684470751391032e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.052793553362160850e+01,1.662919260514885877e+01,3.337080739485114123e+01,6.450985136607654269e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.072139873242221597e+01,1.662919260514885877e+01,3.337080739485114123e+01,6.018381519614114383e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.088259091653483068e+01,1.662919260514885877e+01,3.337080739485114123e+01,5.614788338309519844e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.101926674023456343e+01,1.668309598474415267e+01,3.331690401525584377e+01,6.495475508704775525e-01,3.761999999999999744e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.113730345763497098e+01,1.668309598474415267e+01,3.331690401525584377e+01,6.059888363539487344e-01,3.761999999999999744e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.124115549802379377e+01,1.689870950312533182e+01,3.310129049687466818e+01,1.068237316299193385e+00,3.746000000000000085e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.133419897453535441e+01,1.684480612353003792e+01,3.315519387646996563e+01,8.708796943421417414e-01,3.750000000000000000e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.141899277668353108e+01,1.668309598474415267e+01,3.331690401525584377e+01,4.353138197904237727e-01,3.761999999999999744e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.149747644436757810e+01,1.662919260514885877e+01,3.337080739485114123e+01,2.804001018374474574e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.157112013050037547e+01,1.662919260514885877e+01,3.337080739485114123e+01,2.615964469395499203e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.164103825307676487e+01,1.662919260514885877e+01,3.337080739485114123e+01,2.440537667531530452e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.170807562858523454e+01,1.662919260514885877e+01,3.337080739485114123e+01,2.276875002058654229e-01,3.765999999999999659e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.177287274987573085e+01,1.619796556838648627e+01,3.380203443161351373e+01,-7.933535297566527422e-01,3.797999999999999687e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.183591525825227109e+01,1.619796556838648627e+01,3.380203443161351373e+01,-7.401511739521561273e-01,3.797999999999999687e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.189757143685444873e+01,1.576673853162411909e+01,3.423326146837587913e+01,-1.696288859349356137e+00,3.829999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.195812062574210444e+01,1.576673853162411909e+01,3.423326146837587913e+01,-1.582535582837194310e+00,3.829999999999999716e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.201777475681807061e+01,1.563198008263587724e+01,3.436801991736412276e+01,-1.790714450391772239e+00,3.839999999999999858e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.207669467448764777e+01,1.533551149486175014e+01,3.466448850513825164e+01,-2.362097432714221679e+00,3.861999999999999744e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.213500250458834984e+01,1.516032551117703342e+01,3.483967448882296480e+01,-2.612289967574749294e+00,3.875000000000000000e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.219279102842513396e+01,1.489080861320054971e+01,3.510919138679945206e+01,-3.065717257277497332e+00,3.895000000000000284e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.225013078706720648e+01,1.459434002542642261e+01,3.540565997457358094e+01,-3.551598441927889205e+00,3.917000000000000171e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.230707546547979803e+01,1.445958157643817898e+01,3.554041842356181746e+01,-3.627731785133573972e+00,3.927000000000000313e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.236366597299581116e+01,1.402835453967581003e+01,3.597164546032418997e+01,-4.390228066883951286e+00,3.959000000000000341e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.241993353578348547e+01,1.394749947028287274e+01,3.605250052971712904e+01,-4.284401299622847326e+00,3.964999999999999858e+01,5.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00
